title,genre,release_year,runtime,rating,vote_count,director,cast1,cast2,cast3,cast4,overview,gross,poster_link,source,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Science Fiction,Sport,Thriller,TV Movie,War,Western,main_genre
Sin City: A Dame to Kill For,"Crime, Action, Thriller",2014,102.0,6.381,3762,Frank Miller,Jessica Alba,Bruce Willis,Mickey Rourke,Josh Brolin,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,-25600000.0,https://image.tmdb.org/t/p/w500/90LRjhJ5N4zavCB81L5d4TYstRP.jpg,TMDB,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Crime
Once Upon a Time in America,"Drama, Crime",1984,229.0,8.413,5312,Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",-24500000.0,https://image.tmdb.org/t/p/w500/7jPWSo0yn6gW72LDuZvZq29uqpG.jpg,TMDB,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drama
Catwoman,"Action, Fantasy, Crime",2004,104.0,4.599,3265,Pitof,Halle Berry,Benjamin Bratt,Sharon Stone,Lambert Wilson,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat — and she's eager to use her new skills... as a vigilante. Before you can say ""cat and mouse"", handsome gumshoe Tom Lone is on her tail, fascinated by both of her personas.",-17897621.0,https://image.tmdb.org/t/p/w500/pvnPgukFyEKgCzyOxyLiwyZ8T1C.jpg,TMDB,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
Almost Famous,"Drama, Music",2000,124.0,7.509,2665,Cameron Crowe,Billy Crudup,Frances McDormand,Kate Hudson,Jason Lee,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.",-12613713.0,https://image.tmdb.org/t/p/w500/3rrkyLYbgLj84AYvjhdcJot4JPx.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Drama
Gremlins 2: The New Batch,"Comedy, Horror, Fantasy",1990,106.0,6.4,2518,Joe Dante,Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",-8517793.0,https://image.tmdb.org/t/p/w500/jN7yvxnIHRozhq2mzWZDE5GPRc0.jpg,TMDB,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Comedy
Blow-Up,"Drama, Mystery, Thriller",1966,111.0,7.363,1214,Michelangelo Antonioni,David Hemmings,Vanessa Redgrave,Sarah Miles,John Castle,"A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. But in the course of a single day he unknowingly captures a death on film.",-1800000.0,https://image.tmdb.org/t/p/w500/iVtUdWsT6Ed2DK762zZxjaQAdHy.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Drama
Sunshine,"Drama, Science Fiction, Thriller",2007,107.0,6.96,3715,Danny Boyle,Cillian Murphy,Rose Byrne,Chris Evans,Michelle Yeoh,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.",-15200000.0,https://image.tmdb.org/t/p/w500/oKGGeJ8qvm0UmClz43VJ31fzPP7.jpg,TMDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Drama
The Return of the King,"Animation, Fantasy, Adventure",1980,98.0,6.4,192,Jules Bass,Orson Bean,Roddy McDowall,John Huston,Theodore Gottlieb,Two Hobbits struggle to destroy the Ring in Mount Doom while their friends desperately fight evil Lord Sauron's forces in a final battle.,0.0,https://image.tmdb.org/t/p/w500/sC5j2cUgGe1IQ33WdLYx6G4KiDm.jpg,TMDB,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Animation
The Hobbit,"Family, Fantasy, Animation, Adventure, TV Movie",1977,77.0,6.53,304,"Arthur Rankin, Jr.",Orson Bean,John Huston,Hans Conried,Richard Boone,"Bilbo Baggins the Hobbit was just minding his own business, when his occasional visitor Gandalf the Wizard drops in one night. One by one, a whole group of dwarves drop in, and before he knows it, Bilbo has joined their quest to reclaim their kingdom, taken from them by the evil dragon Smaug. The only problem is that Gandalf has told the dwarves that Bilbo is an expert burglar, but he isn't...",-3000000.0,https://image.tmdb.org/t/p/w500/2ohvyMPhvjftLrM6S6Ljr6QrL0u.jpg,TMDB,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Family
The Fountain,"Drama, Adventure, Science Fiction, Romance",2006,96.0,6.9,2721,Darren Aronofsky,Hugh Jackman,Rachel Weisz,Ellen Burstyn,Mark Margolis,"Spanning over one thousand years, and three parallel stories, The Fountain is a story of love, death, spirituality, and the fragility of our existence in this world.",-19695110.0,https://image.tmdb.org/t/p/w500/t18RxTAw8AW0V5f0bKHpezRaGa6.jpg,TMDB,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Drama
Cutthroat Island,"Action, Adventure",1995,124.0,5.8,534,Renny Harlin,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",-82000000.0,https://image.tmdb.org/t/p/w500/cDYa1i5UzXWztO5ZUp4azv7ycPs.jpg,TMDB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
