,movie_id,title,genre,release_year,runtime,rating,vote_count,director,cast,overview,gross,poster_link
0,12,Finding Nemo,"['Animation', 'Family']",2003,100,7.82,19059,Andrew Stanton,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",846335536,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg
1,14,American Beauty,['Drama'],1999,122,8.019,11903,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']","Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",341296601,/wby9315QzVKdW9BonAefg8jGTTb.jpg
2,16,Dancer in the Dark,"['Drama', 'Crime']",2000,140,7.9,1760,Lars von Trier,"['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare']","Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",27561153,/8Wdd3fQfbbQeoSfWpHrDfaFNhBU.jpg
3,18,The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",1997,126,7.552,10591,Luc Besson,"['Bruce Willis', 'Milla Jovovich', 'Gary Oldman', 'Ian Holm']","In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",173920180,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg
4,22,Pirates of the Caribbean: The Curse of the Black Pearl,"['Adventure', 'Fantasy', 'Action']",2003,143,7.805,20390,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Geoffrey Rush']","After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",515011224,/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg
5,25,Jarhead,"['Drama', 'War']",2005,123,6.665,2828,Sam Mendes,"['Jake Gyllenhaal', 'Jamie Foxx', 'Peter Sarsgaard', 'Scott MacDonald']","Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",25076152,/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg
6,28,Apocalypse Now,"['Drama', 'War']",1979,147,8.28,8125,Francis Ford Coppola,"['Martin Sheen', 'Frederic Forrest', 'Albert Hall', 'Laurence Fishburne']","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",118500000,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg
7,35,The Simpsons Movie,"['Animation', 'Comedy', 'Family']",2007,87,7.012,7884,David Silverman,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith']","After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",452068851,/s3b8TZWwmkYc2KoJ5zk77qB6PzY.jpg
8,38,Eternal Sunshine of the Spotless Mind,"['Science Fiction', 'Drama', 'Romance']",2004,108,8.103,14730,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst', 'Mark Ruffalo']","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",52258126,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg
9,58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",2006,151,7.364,15753,Gore Verbinski,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård']",Captain Jack Sparrow works his way out of a blood debt with the ghostly Davy Jones to avoid eternal damnation.,865700000,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg
10,62,2001: A Space Odyssey,"['Science Fiction', 'Mystery', 'Adventure']",1968,149,8.072,11367,Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain']","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",59923560,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
11,63,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']",1995,129,7.602,8229,Terry Gilliam,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer']","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",139841459,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
12,70,Million Dollar Baby,['Drama'],2004,132,7.956,9418,Clint Eastwood,"['Clint Eastwood', 'Hilary Swank', 'Morgan Freeman', 'Jay Baruchel']","Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",186763646,/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg
13,73,American History X,['Drama'],1998,119,8.345,11438,Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']","Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",3900000,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg
14,74,War of the Worlds,"['Adventure', 'Thriller', 'Science Fiction']",2005,117,6.512,8262,Steven Spielberg,"['Tom Cruise', 'Dakota Fanning', 'Justin Chatwin', 'Miranda Otto']","Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",471873119,/6Biy7R9LfumYshur3YKhpj56MpB.jpg
