title,rating,feature
The Shawshank Redemption,9.3,two imprisoned men bond number year find solace eventual redemption act common decency drama frank darabont tim robbins morgan freeman bob gunton william sadler
The Godfather,9.2,organize crime dynasty age patriarch transfer control clandestine empire reluctant son crime drama francis ford coppola marlon brando al pacino james caan diane keaton
The Dark Knight,9.0,menace know joker wreak havoc chaos people gotham batman must accept one great psychological physical test ability fight injustice action crime drama christopher nolan christian bale heath ledger aaron eckhart michael caine
The Godfather: Part II,9.0,early life career vito corleone 1920s new york city portray son michael expands tighten grip family crime syndicate crime drama francis ford coppola al pacino robert de niro robert duvall diane keaton
12 Angry Men,9.0,jury holdout attempt prevent miscarriage justice force colleague reconsider evidence crime drama sidney lumet henry fonda lee j. cobb martin balsam john fiedler
The Lord of the Rings: The Return of the King,8.9,gandalf aragorn lead world men sauron army draw gaze frodo sam approach mount doom one ring action adventure drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom
Pulp Fiction,8.9,life two mob hitman boxer gangster wife pair diner bandit intertwine four tale violence redemption crime drama quentin tarantino john travolta uma thurman samuel l. jackson bruce willis
Schindler's List,8.9,germanoccupied poland world war ii industrialist oskar schindler gradually become concern jewish workforce witness persecution nazi biography drama history steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall
Inception,8.8,thief steal corporate secret use dreamsharing technology give inverse task plant idea mind ceo action adventure science fiction christopher nolan leonardo dicaprio joseph gordon-levitt elliot page ken watanabe
Fight Club,8.8,insomniac office worker devilmaycare soapmaker form underground fight club evolve something much much drama david fincher brad pitt edward norton meat loaf zach grenier
The Lord of the Rings: The Fellowship of the Ring,8.8,meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron action adventure drama peter jackson elijah wood ian mckellen orlando bloom sean bean
Forrest Gump,8.8,presidency kennedy johnson event vietnam watergate historical event unfold perspective alabama man iq 75 whose desire reunite childhood sweetheart drama romance robert zemeckis tom hanks robin wright gary sinise sally field
"Il buono, il brutto, il cattivo",8.8,bounty hunt scam join two men uneasy alliance third race find fortune gold bury remote cemetery western sergio leone clint eastwood eli wallach lee van cleef aldo giuffrè
The Lord of the Rings: The Two Towers,8.7,frodo sam edge closer mordor help shifty gollum divided fellowship make stand sauron new ally saruman horde isengard action adventure drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom
The Matrix,8.7,beautiful stranger lead computer hacker neo forbidding underworld discover shocking truth life know elaborate deception evil cyberintelligence action science fiction lana wachowski lilly wachowski keanu reeves laurence fishburne carrie-anne moss
Goodfellas,8.7,story henry hill life mob cover relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate biography crime drama martin scorsese robert de niro ray liotta joe pesci lorraine bracco
Star Wars: Episode V - The Empire Strikes Back,8.7,rebel brutally overpower empire ice planet hoth luke skywalker begin jedi train yoda friend pursue darth vader bounty hunter name boba fett galaxy action adventure fantasy irvin kershner mark hamill harrison ford carrie fisher billy dee williams
One Flew Over the Cuckoo's Nest,8.7,criminal pleads insanity admit mental institution rebel oppressive nurse rally scared patient drama milos forman jack nicholson louise fletcher michael berryman peter brocco
Hamilton,8.6,real life one america foremost founding father first secretary treasury alexander hamilton capture live broadway richard rodgers theater original broadway cast biography drama history thomas kail lin-manuel miranda phillipa soo leslie odom jr. renée elise goldsberry
Gisaengchung,8.6,greed class discrimination threaten newly form symbiotic relationship wealthy park family destitute kim clan comedy drama thriller bong joon ho kang-ho song lee sun-kyun cho yeo-jeong choi woo-sik
Soorarai Pottru,8.6,nedumaaran rajangam maara set make common man fly process take world capital intensive industry several enemy stand way drama sudha kongara suriya madhavan paresh rawal aparna balamurali
Interstellar,8.6,team explorer travel wormhole space attempt ensure humanity survival adventure drama science fiction christopher nolan matthew mcconaughey anne hathaway jessica chastain mackenzie foy
Cidade de Deus,8.6,slum rio two kid path diverge one struggle become photographer kingpin crime drama fernando meirelles kátia lund alexandre rodrigues leandro firmino matheus nachtergaele
Sen to Chihiro no kamikakushi,8.6,family move suburb sullen 10yearold girl wanders world rule god witch spirit human change beast animation adventure family hayao miyazaki daveigh chase suzanne pleshette miyu irino rumi hiiragi
Saving Private Ryan,8.6,follow normandy landing group yous soldier go behind enemy line retrieve paratrooper whose brother kill action drama war steven spielberg tom hanks matt damon tom sizemore edward burns
The Green Mile,8.6,life guard death row affect one charge black man accuse child murder rape yet mysterious gift crime drama fantasy frank darabont tom hanks michael clarke duncan david morse bonnie hunt
La vita è bella,8.6,openminded jewish librarian son become victim holocaust use perfect mixture humor imagination protect son danger around camp comedy drama romance roberto benigni roberto benigni nicoletta braschi giorgio cantarini giustino durano
Se7en,8.6,two detective rookie veteran hunt serial killer use seven deadly sin motif crime drama mystery david fincher morgan freeman brad pitt kevin spacey andrew kevin walker
The Silence of the Lambs,8.6,young fbi cadet must receive help incarcerated manipulative cannibal killer help catch another serial killer madman skin victim crime drama thriller jonathan demme jodie foster anthony hopkins lawrence a. bonney kasi lemmons
Star Wars,8.6,luke skywalker join force jedi knight cocky pilot wookiee two droids save galaxy empire worlddestroying battle station also attempt rescue princess leia mysterious darth vader action adventure fantasy george lucas mark hamill harrison ford carrie fisher alec guinness
Seppuku,8.6,ronin request seppuku feudal lord palace tell brutal suicide another ronin previously visit reveal past intertwine challenge clan integrity action drama mystery masaki kobayashi tatsuya nakadai akira ishihama shima iwashita tetsurô tanba
Shichinin no samurai,8.6,poor village attack bandit recruit seven unemployed samurai help defend action adventure drama akira kurosawa toshirô mifune takashi shimura keiko tsushima yukiko shimazaki
It's a Wonderful Life,8.6,angel send heaven help desperately frustrated businessman show life would like never exist drama family fantasy frank capra james stewart donna reed lionel barrymore thomas mitchell
Joker,8.5,gotham city mentally troubled comedian arthur fleck disregard mistreat society embark downward spiral revolution bloody crime path bring facetoface alterego joker crime drama thriller todd phillips joaquin phoenix robert de niro zazie beetz frances conroy
Whiplash,8.5,promising young drummer enrolls cutthroat music conservatory dream greatness mentor instructor stop nothing realize student potential drama music damien chazelle miles teller j.k. simmons melissa benoist paul reiser
The Intouchables,8.5,become quadriplegic paragliding accident aristocrat hire young man project caregiver biography comedy drama olivier nakache éric toledano françois cluzet omar sy anne le ny
The Prestige,8.5,tragic accident two stage magician engage battle create ultimate illusion sacrifice everything outwit drama mystery science fiction christopher nolan christian bale hugh jackman scarlett johansson michael caine
The Departed,8.5,undercover cop mole police attempt identify infiltrate irish gang south boston crime drama thriller martin scorsese leonardo dicaprio matt damon jack nicholson mark wahlberg
The Pianist,8.5,polish jewish musician struggle survive destruction warsaw ghetto world war ii biography drama music roman polanski adrien brody thomas kretschmann frank finlay emilia fox
Gladiator,8.5,former roman general set exact vengeance corrupt emperor murder family send slavery action adventure drama ridley scott russell crowe joaquin phoenix connie nielsen oliver reed
American History X,8.5,former neonazi skinhead try prevent young brother go wrong path drama tony kaye edward norton edward furlong beverly d'angelo jennifer lien
The Usual Suspects,8.5,sole survivor tell twisty event lead horrific gun battle boat begin five criminal meet seemingly random police lineup crime mystery thriller bryan singer kevin spacey gabriel byrne chazz palminteri stephen baldwin
Léon,8.5,mathilda 12yearold girl reluctantly take léon professional assassin family murder unusual relationship form become protégée learn assassin trade action crime drama luc besson jean reno gary oldman natalie portman danny aiello
The Lion King,8.5,lion prince simba father target bitter uncle want ascend throne animation adventure drama roger allers rob minkoff matthew broderick jeremy irons james earl jones
Terminator 2: Judgment Day,8.5,cyborg identical one fail kill sarah connor must protect teenage son john connor advanced powerful cyborg action science fiction james cameron arnold schwarzenegger linda hamilton edward furlong robert patrick
Nuovo Cinema Paradiso,8.5,filmmaker recall childhood fall love picture cinema home village form deep friendship cinema projectionist drama romance giuseppe tornatore philippe noiret enzo cannavale antonella attili isa danieli
Hotaru no haka,8.5,young boy little sister struggle survive japan world war ii animation drama war isao takahata tsutomu tatsumi ayano shiraishi akemi yamaguchi yoshiko shinohara
Back to the Future,8.5,marty mcfly 17yearold high school student accidentally send thirty year past timetraveling delorean invent close friend eccentric scientist doc brown adventure comedy science fiction robert zemeckis michael j. fox christopher lloyd lea thompson crispin glover
Once Upon a Time in the West,8.5,mysterious stranger harmonica join force notorious desperado protect beautiful widow ruthless assassin work railroad western sergio leone henry fonda charles bronson claudia cardinale jason robards
Psycho,8.5,phoenix secretary embezzle 40000 employer client go run check remote motel run young man domination mother horror mystery thriller alfred hitchcock anthony perkins janet leigh vera miles john gavin
Casablanca,8.5,cynical expatriate american cafe owner struggle decide whether help former lover fugitive husband escape nazi french morocco drama romance war michael curtiz humphrey bogart ingrid bergman paul henreid claude rains
Modern Times,8.5,tramp struggle live modern industrial society help young homeless woman comedy drama family charles chaplin charles chaplin paulette goddard henry bergman tiny sandford
City Lights,8.5,aid wealthy erratic tippler dewyeyed tramp fall love sightless flower girl accumulate money able help medically comedy drama romance charles chaplin charles chaplin virginia cherrill florence lee harry myers
Capharnaüm,8.4,serve fiveyear sentence violent crime 12yearold boy sue parent neglect drama nadine labaki zain al rafeea yordanos shiferaw boluwatife treasure bankole kawsar al haddad
Ayla: The Daughter of War,8.4,1950 amidst ravage korean war sergeant süleyman stumble upon halffrozen little girl parent help sight frantic scared verge death see full summary » biography drama history can ulkay erdem can çetin tekindor ismail hacioglu kyung-jin lee
Vikram Vedha,8.4,vikram nononsense police officer accompany simon partner hunt capture vedha smuggler murderer vedha try change vikram life lead conflict action crime drama gayatri pushkar madhavan vijay sethupathi shraddha srinath
Kimi no na wa.,8.4,two stranger find link bizarre way connection form distance thing keep apart animation drama fantasy makoto shinkai ryûnosuke kamiki mone kamishiraishi ryô narita aoi yûki
Dangal,8.4,former wrestler mahavir singh phogat two wrestler daughter struggle towards glory commonwealth game face societal oppression action biography drama nitesh tiwari aamir khan sakshi tanwar fatima sana shaikh sanya malhotra
Spider-Man: Into the Spider-Verse,8.4,teen mile morale become spiderman universe must join five spiderpowered individual dimension stop threat reality animation action adventure bob persichetti peter ramsey rodney rothman shameik moore jake johnson
Avengers: Endgame,8.4,devastating event avenger infinity war 2018 universe ruin help remain ally avenger assemble order reverse thanos action restore balance universe action adventure drama anthony russo joe russo robert downey jr. chris evans mark ruffalo
Avengers: Infinity War,8.4,avenger ally must willing sacrifice attempt defeat powerful thanos blitz devastation ruin put end universe action adventure science fiction anthony russo joe russo robert downey jr. chris hemsworth mark ruffalo
Coco,8.4,aspire musician miguel confront family ancestral ban music enter land dead find greatgreatgrandfather legendary singer animation adventure family lee unkrich adrian molina anthony gonzalez gael garcía bernal benjamin bratt
Django Unchained,8.4,help german bounty hunter freed slave set rescue wife brutal mississippi plantation owner drama western quentin tarantino jamie foxx christoph waltz leonardo dicaprio kerry washington
The Dark Knight Rises,8.4,eight year joker reign anarchy batman help enigmatic catwoman force exile save gotham city brutal guerrilla terrorist bane action adventure christopher nolan christian bale tom hardy anne hathaway gary oldman
3 Idiots,8.4,two friend search long lose companion revisit college day recall memory friend inspire think differently even rest world call idiots comedy drama rajkumar hirani aamir khan madhavan mona singh sharman joshi
Taare Zameen Par,8.4,eightyearold boy think lazy troublemaker new art teacher patience compassion discover real problem behind struggle school drama family aamir khan amole gupte darsheel safary aamir khan tisca chopra
WALL·E,8.4,distant future small wastecollecting robot inadvertently embark space journey ultimately decide fate mankind animation adventure family andrew stanton ben burtt elissa knight jeff garlin fred willard
The Lives of Others,8.4,1984 east berlin agent secret police conduct surveillance writer lover find become increasingly absorb life drama mystery thriller florian henckel von donnersmarck ulrich mühe martina gedeck sebastian koch ulrich tukur
Oldeuboi,8.4,kidnap imprison fifteen year oh daesu release find must find captor five day action drama mystery chan-wook park choi min-sik yoo ji-tae kang hye-jeong kim byeong-ok
Memento,8.4,man shortterm memory loss attempt track wife murderer mystery thriller christopher nolan guy pearce carrie-anne moss joe pantoliano mark boone junior
Mononoke-hime,8.4,journey find cure tatarigami curse ashitaka find middle war forest god tatara mining colony quest also meet san mononoke hime animation action adventure hayao miyazaki yôji matsuda yuriko ishida yûko tanaka billy crudup
Once Upon a Time in America,8.4,former prohibitionera jewish gangster return low east side manhattan thirty year later must confront ghost regret old life crime drama sergio leone robert de niro james woods elizabeth mcgovern treat williams
Raiders of the Lost Ark,8.4,1936 archaeologist adventurer indiana jones hire yous government find ark covenant adolf hitler nazi obtain awesome power action adventure steven spielberg harrison ford karen allen paul freeman john rhys-davies
The Shining,8.4,family head isolated hotel winter sinister presence influence father violence psychic son see horrific foreboding past future drama horror stanley kubrick jack nicholson shelley duvall danny lloyd scatman crothers
Apocalypse Now,8.4,yous army officer serve vietnam task assassinate renegade special force colonel see god drama mystery war francis ford coppola martin sheen marlon brando robert duvall frederic forrest
Alien,8.4,space merchant vessel receive unknown transmission distress call one crew attack mysterious life form soon realize life cycle merely begin horror science fiction ridley scott sigourney weaver tom skerritt john hurt veronica cartwright
Anand,8.4,story terminally ill man wish live life full inevitable occurs tell best friend drama musical hrishikesh mukherjee rajesh khanna amitabh bachchan sumita sanyal ramesh deo
Tengoku to jigoku,8.4,executive shoe company become victim extortion chauffeur son kidnap hold ransom crime drama mystery akira kurosawa toshirô mifune yutaka sada tatsuya nakadai kyôko kagawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,insane general trigger path nuclear holocaust war room full politician general frantically try stop comedy stanley kubrick peter sellers george c. scott sterling hayden keenan wynn
Witness for the Prosecution,8.4,veteran british barrister must defend client murder trial surprise surprise crime drama mystery billy wilder tyrone power marlene dietrich charles laughton elsa lanchester
Paths of Glory,8.4,refuse attack enemy position general accuse soldier cowardice commanding officer must defend drama war stanley kubrick kirk douglas ralph meeker adolphe menjou george macready
Rear Window,8.4,wheelchairbound photographer spy neighbor apartment window becomes convince one commit murder mystery thriller alfred hitchcock james stewart grace kelly wendell corey thelma ritter
Sunset Blvd.,8.4,screenwriter develop dangerous relationship faded film star determine make triumphant return drama film-noir billy wilder william holden gloria swanson erich von stroheim nancy olson
The Great Dictator,8.4,dictator adenoid hynkel try expand empire poor jewish barber try avoid persecution hynkel regime comedy drama war charles chaplin charles chaplin paulette goddard jack oakie reginald gardiner
1917,8.3,april 6th 1917 regiment assemble wage war deep enemy territory two soldier assign race time deliver message stop 1600 men walk straight deadly trap drama thriller war sam mendes dean-charles chapman george mackay daniel mays colin firth
Tumbbad,8.3,mythological story goddess create entire universe plot revolve around consequence human build temple firstborn drama fantasy horror rahi anil barve anand gandhi adesh prasad sohum shah jyoti malshe
Andhadhun,8.3,series mysterious event change life blind pianist must report crime technically know nothing crime drama music sriram raghavan ayushmann khurrana tabu radhika apte anil dhawan
Drishyam,8.3,man go extreme length save family punishment family commit accidental crime crime drama thriller jeethu joseph mohanlal meena asha sharath ansiba
Jagten,8.3,teacher live lonely life struggle son custody life slowly get well find love receive good news son new luck brutally shatter innocent little lie drama thomas vinterberg mads mikkelsen thomas bo larsen annika wedderkopp lasse fogelstrøm
Jodaeiye Nader az Simin,8.3,married couple face difficult decision improve life child move another country stay iran look deteriorating parent alzheimer disease drama asghar farhadi payman maadi leila hatami sareh bayat shahab hosseini
Incendies,8.3,twin journey middle east discover family history fulfill mother last wish drama mystery war denis villeneuve lubna azabal mélissa désormeaux-poulin maxim gaudette mustafa kamel
Miracle in cell NO.7,8.3,story love mentallyill father wrongly accuse murder lovely six year old daughter prison would home base 2013 korean movie 7beonbangui seonmul 2013 drama mehmet ada öztekin aras bulut iynemli nisa sofiya aksongur deniz baysal celile toyon uysal
Babam ve Oglum,8.3,family leftwing journalist torn apart military coup turkey 1980 drama family çagan irmak çetin tekindor fikret kuskan hümeyra ege tanman
Inglourious Basterds,8.3,nazioccupied france world war ii plan assassinate nazi leader group jewish yous soldier coincides theatre owner vengeful plan adventure drama war quentin tarantino brad pitt diane kruger eli roth mélanie laurent
Eternal Sunshine of the Spotless Mind,8.3,relationship turn sour couple undergo medical procedure erase memory drama romance science fiction michel gondry jim carrey kate winslet tom wilkinson gerry robert byrne
Amélie,8.3,amélie innocent naive girl paris sense justice decide help around along way discovers love comedy romance jean-pierre jeunet audrey tautou mathieu kassovitz rufus lorella cravotta
Snatch,8.3,unscrupulous box promoter violent bookmaker russian gangster incompetent amateur robber supposedly jewish jeweler fight track priceless steal diamond comedy crime guy ritchie jason statham brad pitt benicio del toro dennis farina
Requiem for a Dream,8.3,druginduced utopia four coney island people shatter addiction run deep drama darren aronofsky ellen burstyn jared leto jennifer connelly marlon wayans
American Beauty,8.3,sexually frustrated suburban father midlife crisis become infatuate daughter best friend drama sam mendes kevin spacey annette bening thora birch wes bentley
Good Will Hunting,8.3,hunt janitor mit gift mathematics need help psychologist find direction life drama romance gus van sant robin williams matt damon ben affleck stellan skarsgård
Bacheha-Ye aseman,8.3,boy lose sister pair shoe go series adventure order find try new way win new pair drama family sport majid majidi mohammad amir naji amir farrokh hashemian bahare seddiqi nafise jafar-mohammadi
Toy Story,8.3,cowboy doll profoundly threaten jealous new spaceman figure supplant top toy boy room animation adventure comedy john lasseter tom hanks tim allen don rickles jim varney
Braveheart,8.3,scottish warrior william wallace lead countryman rebellion free homeland tyranny king edward england biography drama history mel gibson mel gibson sophie marceau patrick mcgoohan angus macfadyen
Reservoir Dogs,8.3,simple jewelry heist go horribly wrong survive criminal begin suspect one police informant crime drama thriller quentin tarantino harvey keitel tim roth michael madsen chris penn
Full Metal Jacket,8.3,pragmatic yous marine observe dehumanizing effect vietnam war fellow recruit brutal boot camp training bloody street fight hue drama war stanley kubrick matthew modine r. lee ermey vincent d'onofrio adam baldwin
Idi i smotri,8.3,find old rifle young boy join soviet resistance movement ruthless german force experience horror world war ii drama thriller war elem klimov aleksey kravchenko olga mironova liubomiras laucevicius vladas bagdonas
Aliens,8.3,fiftyseven year survive apocalyptic attack aboard space vessel merciless space creature officer ripley awakens hypersleep try warn anyone listen predator action adventure science fiction james cameron sigourney weaver michael biehn carrie henn paul reiser
Amadeus,8.3,life success trouble wolfgang amadeus mozart tell antonio salieri contemporaneous composer insanely jealous mozart talent claim murder biography drama history milos forman f. murray abraham tom hulce elizabeth berridge roy dotrice
Scarface,8.3,1980 miami determined cuban immigrant take drug cartel succumbs greed crime drama brian de palma al pacino michelle pfeiffer steven bauer mary elizabeth mastrantonio
Star Wars: Episode VI - Return of the Jedi,8.3,dare mission rescue han solo jabba hutt rebel dispatch endor destroy second death star meanwhile luke struggle help darth vader back dark side without fall emperor trap action adventure fantasy richard marquand mark hamill harrison ford carrie fisher billy dee williams
Das Boot,8.3,claustrophobic world wwii german youboat boredom filth sheer terror adventure drama thriller wolfgang petersen jürgen prochnow herbert grönemeyer klaus wennemann hubertus bengsch
Taxi Driver,8.3,mentally unstable veteran work nighttime taxi driver new york city perceive decadence sleaze fuel urge violent action attempt liberate presidential campaign worker underage prostitute crime drama martin scorsese robert de niro jodie foster cybill shepherd albert brooks
The Sting,8.3,two grifter team pull ultimate con comedy crime drama george roy hill paul newman robert redford robert shaw charles durning
A Clockwork Orange,8.3,future sadistic gang leader imprison volunteer conductaversion experiment go plan crime drama science fiction stanley kubrick malcolm mcdowell patrick magee michael bates warren clarke
2001: A Space Odyssey,8.3,discover mysterious artifact bury beneath lunar surface mankind set quest find origin help intelligent supercomputer hal 9000 adventure science fiction stanley kubrick keir dullea gary lockwood william sylvester daniel richter
Per qualche dollaro in più,8.3,two bounty hunter intention team track western outlaw western sergio leone clint eastwood lee van cleef gian maria volontè mara krupp
Lawrence of Arabia,8.3,story te lawrence english officer successfully united lead diverse often war arab tribe world war order fight turk adventure biography drama david lean peter o'toole alec guinness anthony quinn jack hawkins
The Apartment,8.3,man try rise company let executive use apartment tryst complication romance ensue comedy drama romance billy wilder jack lemmon shirley maclaine fred macmurray ray walston
North by Northwest,8.3,new york city advertising executive go run mistake government agent group foreign spy adventure mystery thriller alfred hitchcock cary grant eva marie saint james mason jessie royce landis
Vertigo,8.3,former police detective juggle wrestle personal demon become obsess hauntingly beautiful woman mystery romance thriller alfred hitchcock james stewart kim novak barbara bel geddes tom helmore
Singin' in the Rain,8.3,silent film production company cast make difficult transition sound comedy musical romance stanley donen gene kelly gene kelly donald o'connor debbie reynolds
Ikiru,8.3,bureaucrat try find meaning life discover terminal cancer drama akira kurosawa takashi shimura nobuo kaneko shin'ichi himori haruo tanaka
Ladri di biciclette,8.3,postwar italy workingclass man bicycle steal son set find drama vittorio de sica lamberto maggiorani enzo staiola lianella carell elena altieri
Double Indemnity,8.3,insurance representative let u talk seductive housewife murderinsurance fraud scheme arouse suspicion insurance investigator crime drama film-noir billy wilder fred macmurray barbara stanwyck edward g. robinson byron barr
Citizen Kane,8.3,follow death publish tycoon charles foster kane reporter scramble uncover meaning final utterance rosebud drama mystery orson welles orson welles joseph cotten dorothy comingore agnes moorehead
M - Eine Stadt sucht einen Mörder,8.3,police german city unable catch childmurderer criminal join manhunt crime mystery thriller fritz lang peter lorre ellen widmann inge landgut otto wernicke
Metropolis,8.3,futuristic city sharply divide work class city planner son city mastermind fall love workingclass prophet predict come savior mediate difference drama science fiction fritz lang brigitte helm alfred abel gustav fröhlich rudolf klein-rogge
The Kid,8.3,tramp care abandon child event put relationship jeopardy comedy drama family charles chaplin charles chaplin edna purviance jackie coogan carl miller
Chhichhore,8.2,tragic incident force anirudh middleaged man take trip memory lane reminisce college day along friend label loser comedy drama nitesh tiwari sushant singh rajput shraddha kapoor varun sharma prateik
Uri: The Surgical Strike,8.2,indian army special force execute covert operation avenge killing fellow army men base terrorist group action drama war aditya dhar vicky kaushal paresh rawal mohit raina yami gautam
K.G.F: Chapter 1,8.2,1970s fierce rebel rise brutal oppression become symbol hope legion downtrodden people action drama prashanth neel yash srinidhi shetty ramachandra raju archana jois
Green Book,8.2,workingclass italianamerican bouncer become driver africanamerican classical pianist tour venue 1960s american south biography comedy drama peter farrelly viggo mortensen mahershala ali linda cardellini sebastian maniscalco
"Three Billboards Outside Ebbing, Missouri",8.2,mother personally challenge local authority solve daughter murder fail catch culprit comedy crime drama martin mcdonagh frances mcdormand woody harrelson sam rockwell caleb landry jones
Talvar,8.2,experienced investigator confronts several conflict theory perpetrator violent double homicide crime drama mystery meghna gulzar irrfan khan konkona sen sharma neeraj kabi sohum shah
Baahubali 2: The Conclusion,8.2,shiva son bahubali learn heritage begin look answer story juxtapose past event unfold mahishmati kingdom action drama s.s. rajamouli prabhas rana daggubati anushka shetty tamannaah bhatia
Klaus,8.2,simple act kindness always spark another even frozen faraway place smeerensburg new postman jesper befriend toymaker klaus gift melt ageold feud deliver sleigh full holiday tradition animation adventure comedy sergio pablos carlos martínez lópez jason schwartzman j.k. simmons rashida jones
Queen,8.2,delhi girl traditional family set solo honeymoon marriage get cancel adventure comedy drama vikas bahl kangana ranaut rajkummar rao lisa haydon jeffrey ho
Mandariinid,8.2,1992 war rage abkhazia breakaway region georgia estonian man ivo decide stay behind harvest crop tangerine bloody conflict door wounded man leave behind ivo take drama war zaza urushadze lembit ulfsak elmo nüganen giorgi nakashidze misha meskhi
Bhaag Milkha Bhaag,8.2,truth behind ascension milkha singh scar indiapakistan partition biography drama sport rakeysh omprakash mehra farhan akhtar sonam kapoor pawan malhotra art malik
Gangs of Wasseypur,8.2,clash sultan shahid khan lead expulsion khan wasseypur ignite deadly blood feud span three generation action comedy crime anurag kashyap manoj bajpayee richa chadha nawazuddin siddiqui tigmanshu dhulia
Udaan,8.2,expel school 16year old boy return home abusive oppressive father drama vikramaditya motwane rajat barmecha ronit roy manjot singh ram kapoor
Paan Singh Tomar,8.2,story paan singh tomar indian athlete seventime national steeplechase champion become one feared dacoit chambal valley retirement action biography crime tigmanshu dhulia irrfan khan mahie gill rajesh abhay hemendra dandotiya
El secreto de sus ojos,8.2,retired legal counselor write novel hoping find closure one past unresolved homicide case unreciprocated love superior still haunt decade later drama mystery romance juan josé campanella ricardo darín soledad villamil pablo rago carla quevedo
Warrior,8.2,young son alcoholic former boxer return home train father competition mixed martial art tournament path put fighter collision course estrange old brother action drama sport gavin o'connor tom hardy nick nolte joel edgerton jennifer morrison
Shutter Island,8.2,1954 yous marshal investigate disappearance murderer escape hospital criminally insane mystery thriller martin scorsese leonardo dicaprio emily mortimer mark ruffalo ben kingsley
Up,8.2,78yearold carl fredricksen travel paradise fall house equip balloon inadvertently take young stowaway animation adventure comedy pete docter bob peterson edward asner jordan nagai john ratzenberger
